state_code,county_code,site_num,parameter_code,poc,latitude,longitude,datum,parameter_name,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,mdl,uncertainty,qualifier,method_type,method_code,method_name,state_name,county_name,date_of_last_change
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-13,00:00,1993-04-13,07:00,33.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-14,00:00,1993-04-14,07:00,33.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-15,00:00,1993-04-15,07:00,35.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-16,00:00,1993-04-16,07:00,38.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-17,00:00,1993-04-17,07:00,42.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-18,00:00,1993-04-18,07:00,46.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-19,00:00,1993-04-19,07:00,42.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-20,00:00,1993-04-20,07:00,31.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-21,00:00,1993-04-21,07:00,35.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-22,00:00,1993-04-22,07:00,49.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-23,00:00,1993-04-23,07:00,52.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-24,00:00,1993-04-24,07:00,45.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-25,00:00,1993-04-25,07:00,40.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-26,00:00,1993-04-26,07:00,46.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-27,00:00,1993-04-27,07:00,54.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-28,00:00,1993-04-28,07:00,49.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-29,00:00,1993-04-29,07:00,43.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-04-30,00:00,1993-04-30,07:00,52.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-01,00:00,1993-05-01,07:00,35.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-02,00:00,1993-05-02,07:00,36.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-03,00:00,1993-05-03,07:00,47.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-04,00:00,1993-05-04,07:00,50.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-05,00:00,1993-05-05,07:00,58.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-06,00:00,1993-05-06,07:00,49.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-07,00:00,1993-05-07,07:00,52.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-08,00:00,1993-05-08,07:00,45.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-09,00:00,1993-05-09,07:00,42.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-10,00:00,1993-05-10,07:00,40.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-11,00:00,1993-05-11,07:00,44.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-12,00:00,1993-05-12,07:00,56.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-13,00:00,1993-05-13,07:00,52.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-14,00:00,1993-05-14,07:00,59.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-15,00:00,1993-05-15,07:00,55.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-16,00:00,1993-05-16,07:00,54.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
08,005,0003,62101,1,39.657222,-104.998056,NAD27,Outdoor Temperature,1993-05-17,00:00,1993-05-17,07:00,53.0,Degrees Fahrenheit,-60.0,,,Non-FRM,40,INSTRUMENTAL - ELECTRONIC OR MACHINE AVG.,Colorado,Arapahoe,
